iter	Passed	Remaining
0	64	19165
1	65	9811
2	67	6666
3	68	5090
4	70	4137
5	71	3505
6	72	3053
7	74	2715
8	75	2450
9	77	2238
10	79	2077
11	80	1938
12	82	1818
13	84	1721
14	85	1630
15	88	1562
16	89	1493
17	91	1430
18	92	1374
19	94	1321
20	96	1278
21	97	1236
22	99	1195
23	100	1159
24	103	1134
25	104	1103
26	106	1073
27	107	1044
28	109	1021
29	110	998
30	112	977
31	114	955
32	115	936
33	117	918
34	118	900
35	120	884
36	122	867
37	123	852
38	125	836
39	126	823
40	128	812
41	130	803
42	132	791
43	133	778
44	135	767
45	137	756
46	138	746
47	140	738
48	142	729
49	145	725
50	147	718
51	148	710
52	151	704
53	152	695
54	154	686
55	155	678
56	157	671
57	159	664
58	160	657
59	162	651
60	164	645
61	167	642
62	169	636
63	170	629
64	172	622
65	173	616
66	175	610
67	176	603
68	178	597
69	179	591
70	181	586
71	183	582
72	185	576
73	186	570
74	188	565
75	190	560
76	191	554
77	193	549
78	194	545
79	196	541
80	198	536
81	200	531
82	201	527
83	203	523
84	205	518
85	206	513
86	207	509
87	209	505
88	211	500
89	212	495
90	214	491
91	216	489
92	219	488
93	221	484
94	222	480
95	224	477
96	226	473
97	227	469
98	229	466
99	231	462
100	232	458
101	235	456
102	237	454
103	239	452
104	241	448
105	243	445
106	244	441
107	246	437
108	247	434
109	249	430
110	251	427
111	252	424
112	254	421
113	255	417
114	257	413
115	258	410
116	260	407
117	263	405
118	265	403
119	267	400
120	269	398
121	271	395
122	272	392
123	274	389
124	276	387
125	280	387
126	285	388
127	287	386
128	289	383
129	291	380
130	292	377
131	294	375
132	296	371
133	298	369
134	299	366
135	301	363
136	302	360
137	304	357
138	306	354
139	307	351
140	309	348
141	310	345
142	313	343
143	314	340
144	316	338
145	318	335
146	320	333
147	322	330
148	323	327
149	325	325
150	326	322
151	328	319
152	330	317
153	331	314
154	333	311
155	334	309
156	336	306
157	338	304
158	340	301
159	341	299
160	343	296
161	345	294
162	346	291
163	349	289
164	350	287
165	353	285
166	355	282
167	357	280
168	358	277
169	360	275
170	361	272
171	363	270
172	365	268
173	367	266
174	369	263
175	370	261
176	372	258
177	374	256
178	375	253
179	377	251
180	378	248
181	380	246
182	381	244
183	383	241
184	385	239
185	386	237
186	388	234
187	389	232
188	391	230
189	393	227
190	395	225
191	397	223
192	398	221
193	400	218
194	401	216
195	403	214
196	405	211
197	406	209
198	409	207
199	410	205
200	412	203
201	413	200
202	415	198
203	417	196
204	418	194
205	420	191
206	422	189
207	423	187
208	425	185
209	427	183
210	428	180
211	430	178
212	431	176
213	433	174
214	434	171
215	436	169
216	438	167
217	440	165
218	442	163
219	443	161
220	445	159
221	447	157
222	449	155
223	450	152
224	452	150
225	454	148
226	456	146
227	459	145
228	460	142
229	462	140
230	463	138
231	465	136
232	467	134
233	468	132
234	470	130
235	472	128
236	473	125
237	475	123
238	477	121
239	478	119
240	480	117
241	482	115
242	483	113
243	485	111
244	487	109
245	489	107
246	490	105
247	492	103
248	493	101
249	495	99
250	497	97
251	498	94
252	500	92
253	501	90
254	503	88
255	504	86
256	506	84
257	507	82
258	509	80
259	510	78
260	512	76
261	514	74
262	515	72
263	517	70
264	518	68
265	520	66
266	521	64
267	523	62
268	525	60
269	526	58
270	528	56
271	529	54
272	532	52
273	534	50
274	536	48
275	537	46
276	539	44
277	541	42
278	543	40
279	545	38
280	546	36
281	548	35
282	551	33
283	553	31
284	555	29
285	556	27
286	559	25
287	561	23
288	562	21
289	564	19
290	566	17
291	568	15
292	570	13
293	571	11
294	573	9
295	574	7
296	576	5
297	578	3
298	579	1
299	581	0
